Queue Delay,Priority
4.680617570877075,gold
4.7712225914001465,gold
4.840510368347168,gold
5.253103017807007,silv
5.324131727218628,silv
4.87862038612365,bron
5.129997968673706,gold
5.193193674087524,gold
5.264055967330933,gold
5.67961573600769,silv
5.752384424209595,silv
5.30207037925720,bron
5.543088674545288,gold
5.6080615520477295,gold
5.671529054641724,gold
6.09016227722168,silv
6.148868083953857,silv
5.70673441886901,bron
5.9568870067596436,gold
6.019150495529175,gold
6.046743392944336,gold
6.501404047012329,silv
6.565339803695679,silv
6.127690076828003,bron
6.332242012023926,gold
6.399616479873657,gold
6.463971138000488,gold
6.908123016357422,silv
6.958158731460571,silv
6.551581859588623,bron
6.748781442642212,gold
6.819456338882446,gold
6.887177228927612,gold
7.317504644393921,silv
7.368611812591553,silv
6.98930025100708,bron
7.182456731796265,gold
7.254912376403809,gold
7.324769735336304,gold
7.730236768722534,silv
7.786299467086792,silv
7.41772818565368,bron
7.59836220741272,gold
7.665745496749878,gold
7.734319448471069,gold
8.12535834312439,silv
8.182435512542725,silv
8.24437546730041,bron
8.424805164337158,gold
8.492504835128784,gold
8.560356140136719,gold
8.931607723236084,silv
9.000186681747437,silv
8.66734099388122,bron
8.844031572341919,gold
8.914539337158203,gold
8.982132196426392,gold
9.345524072647095,silv
9.415245056152344,silv
9.09240627288818,bron
9.25959849357605,gold
9.328510522842407,gold
9.39768099784851,gold
9.76084303855896,silv
9.811616897583008,silv
9.51862406730651,bron
9.69057011604309,gold
9.755581617355347,gold
9.829201459884644,gold
10.174499034881592,silv
10.244998216629028,silv
9.96800518035888,bron
10.12117600440979,gold
10.183902025222778,gold
10.257991552352905,gold
10.609090805053711,silv
10.684749126434326,silv
10.3960299491882,bron
10.556926727294922,gold
10.630038976669312,gold
10.70398759841919,gold
11.057979822158813,silv
11.133857488632202,silv
10.8465383052825,bron
11.002061605453491,gold
11.079674243927002,gold
11.146505355834961,gold
11.503681182861328,silv
11.570063591003418,silv
11.2859961986541,bron
11.432024717330933,gold
11.496861696243286,gold
11.492278099060059,gold
11.937335729598999,silv
12.010011196136475,silv
11.720504760742188,bron
11.246861934661865,gold
11.310243844985962,gold
11.375208139419556,gold
12.355201721191406,silv
12.419594287872314,silv
12.1279041767120,bron
11.64463758468628,gold
11.719739198684692,gold
11.796019315719604,gold
12.277896761894226,silv
12.848954677581787,silv
12.5616466999053,bron
12.07952332496643,gold
12.153714418411255,gold
12.226306438446045,gold
13.217687845230103,silv
13.284540891647339,silv
12.9979591369628,bron
12.519836902618408,gold
12.583831548690796,gold
12.652185201644897,gold
13.725649356842041,silv
13.4344389438629,silv
12.95248007774353,bron
13.013686656951904,gold
13.086517810821533,gold
14.08520221710205,gold
14.153605222702026,silv
13.2781958580017,silv
13.358082294464111,bron
13.49789547920227,gold
14.508511543273926,silv
14.576743125915527,silv
13.7036943435668,bron
13.786072731018066,gold
13.85697865486145,gold
13.924740552902222,gold
14.935799837112427,silv
15.005524158477783,silv
14.1259970664978,bron
14.198042631149292,gold
14.27541732788086,gold
14.346003293991089,gold
15.372233629226685,silv
15.442207098007202,silv
14.5537199974060,bron
14.625210523605347,gold
14.690903186798096,gold
14.756791114807129,gold
15.787944316864014,silv
15.857614278793335,silv
14.9696240425109,bron
15.043317079544067,gold
15.121033191680908,gold
15.184281349182129,gold
16.21891736984253,silv
16.291694164276123,silv
15.405421018600464,bron
15.46884274482727,gold
15.5347421169281,gold
15.60623288154602,gold
16.655431747436523,silv
16.723389387130737,silv
15.8300428390502,bron
15.891390562057495,gold
15.952453374862671,gold
16.027570962905884,gold
17.0919451713562,silv
17.16363024711609,silv
16.2603425979614,bron
16.311048984527588,gold
16.376899003982544,gold
16.44356060028076,gold
17.50785517692566,silv
17.577782154083252,silv
16.6700158119201,bron
16.710190534591675,gold
16.773223161697388,gold
16.83871626853943,gold
17.9047429561615,silv
17.988445281982422,silv
17.0924918651580,bron
17.136441946029663,gold
17.176491260528564,gold
17.248714447021484,gold
18.349677085876465,silv
18.419133186340332,silv
17.5267663002014,bron
17.545387029647827,gold
17.61619210243225,gold
17.674250602722168,gold
18.793400287628174,silv
18.86720037460327,silv
17.9763917922973,bron
17.969793558120728,gold
18.092313289642334,gold
18.2670769691467,gold
19.307130098342896,silv
19.378409385681152,silv
18.4260833263397,bron
18.518505573272705,gold
18.58955669403076,gold
18.64619302749633,gold
19.735404014587402,silv
19.806039094924927,silv
19.0096099376678,bron
20.100228786468506,gold
20.171433925628662,gold
19.2368929386138,bron
20.316798210144043,gold
20.3878972530365,gold
19.4513320922851,bron
20.534826278686523,gold
20.607824325561523,gold
19.67912268638611,bron
20.748811721801758,gold
20.814512491226196,gold
19.8829314708709,bron
20.95032525062561,gold
21.021034002304077,gold
20.09252977371215,bron
21.161988019943237,gold
21.23137593269348,gold
20.30749917030334,bron
21.367374181747437,gold
21.429779767990112,gold
20.5152966976165,bron
21.56364870071411,gold
21.631669759750366,gold
20.7294893264770,bron
21.766068935394287,gold
21.831717491149902,gold
20.9361870288848,bron
21.934210300445557,gold
22.006871223449707,gold
21.1529374122619,bron
22.143226385116577,gold
22.205537796020508,gold
21.3647305965423,bron
22.29378390312195,gold
21.67154550552368,gold
21.5680859088897,bron
21.6368064880371,gold
21.7034661769866,gold
21.7691962718963,bron
21.8383748531341,gold
21.9119913578033,gold
21.9852981567382,bron
22.0606749057769,gold
22.1332399845123,gold
22.2045805454254,gold
22.2690474987030,gold
22.3392639160156,bron
22.41510033607483,gold
22.4847743511199,gold
22.55632877349853,bron
22.6265056133270,gold
22.6999769210815,gold
22.7696876525878,gold
22.8421435356140,gold
22.9081735610961,bron
22.9732704162597,gold
23.0442073345184,gold
23.1209354400634,bron
23.1933281421661,gold
23.2665162086486,gold
23.3423609733581,gold
23.4191749095916,bron
23.4882917404174,gold
23.5563225746154,gold
23.6246397495269,gold
23.6950428485870,bron
23.7692611217498,gold
23.8422522544860,gold
23.9113554954528,bron
23.98484063148498,gold
24.0554146766662,gold
24.12227392196655,bron
24.19259858131408,gold
24.2635703086853,gold
24.3312964439392,bron
24.4034538269042,gold
24.4691779613494,gold
24.5434134006500,bron
24.6200542449951,gold
24.6845340728759,gold
24.7490088939666,bron
24.8164806365966,gold
24.8890149593353,gold
24.9571080207824,bron
25.0307211875915,gold
25.09947490692138,gold
25.16967487335205,bron
